symbol,yf_symbol,akshare_symbol,name,market,sector_tags,market_cap,pe,float_pct,tags,is_loss,is_low_cap
600941.SH,600941.SH,600941,中国移动,CN,"数据中心,算力概念",20927.58,17.83,4.17,【低PE】【低流通】,0,0
300750.SZ,300750.SZ,300750,宁德时代,CN,华为概念,20171.51,24.32,92.01,【高流通】,0,0
601138.SH,601138.SH,601138,工业富联,CN,"CPO概念,人工智能,机器人概念,液冷概念,算力概念",12477.97,29.44,100.0,【高流通】,0,0
300308.SZ,300308.SZ,300308,中际旭创,CN,"CPO概念,无人驾驶,算力概念",9549.12,41.63,99.52,【高流通】,0,0
688981.SH,688981.SH,688981,中芯国际,CN,"国产芯片,存储芯片",9513.98,188.74,24.95,【低流通】,0,0
002594.SZ,002594.SZ,002594,比亚迪,CN,"华为概念,国产芯片,无人驾驶,机器人概念",9388.89,57.47,38.24,,0,0
688256.SH,688256.SH,688256,寒武纪,CN,"AI芯片,人工智能,国产芯片,数据中心,算力概念",7168.48,176.87,100.0,【高流通】,0,0
688041.SH,688041.SH,688041,海光信息,CN,"AI芯片,人工智能,信创,国产芯片,算力概念",6885.85,250.54,100.0,【高流通】,0,0
000333.SZ,000333.SZ,000333,美的集团,CN,"人形机器人,国产芯片,数据中心,液冷概念,鸿蒙概念",6168.82,12.17,90.12,【低PE】【高流通】,0,0
601728.SH,601728.SH,601728,中国电信,CN,"人工智能,数据中心,算力概念",5517.88,18.77,84.83,【低PE】【高流通】,0,0
300502.SZ,300502.SZ,300502,新易盛,CN,"CPO概念,算力概念",5226.4,47.0,89.07,【高流通】,0,0
002475.SZ,002475.SZ,002475,立讯精密,CN,"AI眼镜,CPO概念,华为概念,数据中心,机器人概念,液冷概念",4881.61,33.35,99.77,【高流通】,0,0
600030.SH,600030.SH,600030,中信证券,CN,华为概念,4034.15,9.87,82.16,【低PE】【高流通】,0,0
002371.SZ,002371.SZ,002371,北方华创,CN,"华为概念,华为海思,国产芯片,存储芯片",3892.28,59.52,99.92,【高流通】,0,0
002384.SZ,002384.SZ,002384,东山精密,CN,"PCB,华为概念",3420.16,77.04,75.69,,0,0
688795.SH,688795.SH,688795,摩尔线程-U,CN,"AI芯片,国产芯片,算力概念",3363.99,2864.51,6.25,【低流通】,0,0
002415.SZ,002415.SZ,002415,海康威视,CN,"AI应用,人工智能,存储芯片,无人驾驶,机器人概念",3325.93,29.9,98.71,【高流通】,0,0
300476.SZ,300476.SZ,300476,胜宏科技,CN,"PCB,人形机器人,机器人概念",3228.35,62.64,88.04,【高流通】,0,0
300059.SZ,300059.SZ,300059,东方财富,CN,"AIGC概念,AI应用,人工智能,虚拟机器人,鸿蒙概念",3217.7,21.52,84.39,【高流通】,0,0
688802.SH,688802.SH,688802,沐曦股份-U,CN,"AI芯片,国产芯片,算力概念",3032.88,-767.1,4.53,【亏损】【低流通】,1,0
